<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200214,191500,29423.8134615,29426.3935486,29394.3524668,29415.1531691,898
20200214,193000,29415.8631931,29429.5536553,29409.2229689,29414.7431553,899
20200214,194500,29415.8331921,29425.1435064,29409.9329929,29422.3134109,900
20200214,200000,29422.2934102,29423.4534494,29388.8322804,29402.3127356,900
20200214,201500,29402.2427332,29406.4928767,29380.6020025,29388.7922791,900
20200214,203000,29388.6622747,29393.7224455,29365.5514944,29377.6919043,897
20200214,204500,29377.5218985,29394.6324763,29368.9416088,29374.4717956,900
20200214,210000,29374.4017932,29375.5818330,29344.4507819,29352.6810598,900
20200214,211500,29352.7310615,29363.2114154,29326.3201698,29343.7707590,895
20200214,213000,29343.3407445,29344.5707860,29313.5897399,29323.1100614,900
20200214,214500,29321.8900202,29356.5011888,29319.1399273,29343.6407546,900
20200214,220000,29343.7707590,29344.4607823,29302.4093625,29311.2796619,900
20200214,221500,29311.2496609,29335.8704922,29307.9295488,29318.0598909,900
20200214,223000,29318.0298899,29340.7606573,29284.1687466,29340.0306327,898
20200214,224500,29339.8806276,29374.1817858,29330.0702964,29354.4611199,900
20200214,230000,29354.7811307,29354.8411328,29324.8801212,29335.7104868,900
20200214,231500,29335.7304875,29340.2306394,29306.2394918,29314.3097643,900
20200214,233000,29313.9997538,29330.4203082,29306.0094840,29326.8601880,900
20200214,234500,29326.7101829,29360.6613293,29321.1899966,29354.6911277,900
20200215,000000,29354.9611368,29401.8627204,29354.9611368,29396.2525310,898
20200215,001500,29396.3225333,29399.1426285,29396.2925323,29399.0726262,897
20200215,003000,29399.0726262,29399.0726262,29399.0726262,29399.0726262,301
20200218,174500,29283.7687331,29331.1503329,29246.6674804,29289.7189340,733
20200218,180000,29291.9090079,29314.2397619,29284.6987645,29308.8995816,896
20200218,181500,29310.1696245,29313.4397349,29275.3184478,29299.5792669,886
20200218,183000,29299.7892740,29299.9292787,29210.3162530,29210.3162530,878
20200218,184500,29196.6457915,29232.3869982,29195.3857489,29219.1765522,872
20200218,190000,29218.6865356,29245.6974476,29216.0864479,29223.3666937,883
20200218,191500,29223.4966981,29231.7469766,29189.4755494,29189.4855497,885
20200218,193000,29189.5255511,29199.9659036,29132.3136194,29140.6939023,891
20200218,194500,29141.4239270,29163.4046691,29120.6032240,29120.9232348,897
20200218,200000,29121.4732533,29146.4140954,29117.7931291,29118.7731622,900
20200218,201500,29118.6031564,29166.2547653,29118.6031564,29160.5845739,898
20200218,203000,29160.5045712,29166.9347883,29150.1142204,29159.0645226,900
20200218,204500,29159.1345249,29188.4855159,29159.1345249,29179.3052060,900
20200218,210000,29178.7851884,29192.4856510,29174.7350517,29185.5054153,900
20200218,211500,29185.6454200,29214.5563962,29185.6454200,29203.6360275,900
20200218,213000,29203.7660319,29207.8361693,29195.4557513,29204.6560619,900
20200218,214500,29204.7460650,29216.0564468,29180.7752556,29181.1552684,900
20200218,220000,29180.8852593,29193.0156689,29173.5550118,29186.9954656,900
20200218,221500,29187.5154832,29190.8355953,29169.1748639,29172.2449676,900
20200218,223000,29172.0549612,29254.0777306,29170.3349031,29253.9177252,900
20200218,224500,29254.1577333,29256.9278268,29230.4869341,29253.3177049,899
20200218,230000,29253.1276985,29256.7378204,29239.6172423,29248.2275331,900
20200218,231500,29248.8475540,29272.8483644,29240.5372734,29272.8483644,898
20200218,233000,29273.3383809,29273.7683954,29238.9972214,29248.6875486,900
20200218,234500,29249.0175597,29249.0175597,29224.3767278,29241.6273102,900
20200219,000000,29241.4473041,29243.2973666,29206.4061210,29231.0069516,893
20200219,001500,29234.0870556,29234.7370776,29232.9670178,29233.1770249,894
20200219,003000,29233.1770249,29233.1770249,29233.1770249,29233.1770249,301
20200219,174500,29313.6897433,29342.8207269,29287.4088560,29308.6895745,781
20200219,180000,29308.6695738,29329.6302815,29289.8889397,29297.5992000,889
20200219,181500,29296.2591548,29304.9394479,29275.3684494,29293.4590603,891
20200219,183000,29293.6590670,29321.0799928,29291.5889971,29304.1594215,896
20200219,184500,29302.2193560,29320.8699858,29302.1693543,29317.4098689,900
20200219,190000,29317.4098689,29338.6705868,29304.0594182,29329.1402650,899
20200219,191500,29328.7702525,29375.3718259,29326.6701816,29375.0518151,899
20200219,193000,29374.4117935,29384.8321454,29372.4617277,29379.0119489,899
20200219,194500,29378.8819445,29387.3922318,29365.6514977,29368.3315882,900
20200219,200000,29368.7416021,29377.8419093,29365.1214799,29371.6717010,900
